시군명,사업단계,사업유형,정비구역명,위치,구역면적(㎡),(기존주택)준공년도,(기존주택)동수,(기존주택)세대수,(기존주택)면적별세대수(40㎡미만),(기존주택)면적별세대수(40~60㎡),(기존주택)면적별세대수(60~85㎡),(기존주택)면적별세대수(85~135㎡),(기존주택)면적별세대수(135㎡이상),사업시행세대수총계,조합원분양세대수,일반분양세대수,임대세대수,(신축주택)분양주택수,(신축주택)면적별분양주택수(40㎡미만),(신축주택)면적별분양주택수(40~60㎡),(신축주택)면적별분양주택수(60~85㎡),(신축주택)면적별분양주택수(85~135㎡),(신축주택)면적별분양주택수(135㎡이상),(신축주택)임대주택수,(신축주택)면적별임대주택수(40㎡미만),(신축주택)면적별임대주택수(40~60㎡),(신축주택)면적별임대주택수(60~85㎡),(기존)용적률,(신축)용적률,토지등소유자수(명),조합원수(명),사업시행자,사업예정기간(사업시작),사업예정기간(사업완료),정비예정구역고시일자,정비구역지정예정일자,정비계획승인일자,정비구역지정일자(최초지정),정비구역지정일자(변경지정),추진위승인일자,예비평가일자,안전진단일자,조합설립인가일자,사업시행인가일자,관리처분인가일자,착공일자,일반분양일자,준공일자,이전고시일자,현추진상황,업무담당자,담당자전화번호,비고
고양시,준공,재건축,일산Ⅱ-1구역(탄현주공),경기도 고양시 탄현동 28,23728,1989,13,33,2,12,15,4,,589,393,178,18,571,,141,398,32,,18,,18,,0.95,2.5,393,393,조합,2007,2012,2006-12-21,,,2007-10-22,,,,2003-06-30,2003-06-30,2008-12-31,2009-12-31,2011-03-04,2013-05-09,2013-08-02,2014-07-11,준공,송현직,031-8075-3435,
고양시,준공,도시환경,관산1차,경기도 고양시 관산동 178-52,6986,1987,21,33,2,12,15,4,,340,340,,,340,,136,102,68,34,,,,,1.26,6.69,53,50,조합,2007,2012,,,,2005-09-26,2007-08-13,2005-12-05,,,2006-01-10,2007-09-21,2007-12-27,2011-01-20,2011-04-28,2014-02-28,2014-03-14,준공,송현직,031-8075-3435,
고양시,준공,재건축,주교성사1단지,경기도 고양시 덕양구 성사동 869,66998,1986,35,1050,,846,204,,,1486,1026,310,150,1336,,164,616,376,180,150,,150,,0.8,2.77,1047,1047,조합,2005,2009,,,,2006-06-19,2007-12-27,,,2003-02-28,2003-06-30,2006-06-20,2006-10-12,2007-04-30,2009-11-25,2009-12-02,2010-06-18,준공,송현직,031-8075-3435,
고양시,조합설립,재개발,일산Ⅰ-2구역,경기도 고양시 일산동 960-16,17738,1940~2001,9,9,,4,5,,,390,331,,59,331,,295,36,,,59,51,8,,1.5,2.3,99,99,조합,2015,,2006-12-21,2008-01-01,2014-01-14,2015-04-10,2017-04-14,2010-02-01,,,2019-01-15,,,,,,,사업시행인가 준비 중,송현직,031-8075-3435,
고양시,조합설립,재건축,행신 Ⅱ-1구역,경기도 고양시 행신동 173-1,13062,1980~2003,13,267,20,90,120,37,,272,272,,,272,,132,140,,,,,,,1.04,2.3,186,151,조합,2010,,2006-12-21,2006-12-21,2009-09-01,2010-03-09,2017-03-24,,,,2001-09-21,,,,,,,사업시행인가 신청,권호영,031-8075-3432,
고양시,조합설립,재개발,고양 Ⅰ-1구역,경기도 고양시 덕양구 고양동 22-2,24500,1970~2004,45,196,15,70,90,21,,352,292,,60,292,,120,140,32,,60,60,,,0.37,2.22,124,120,조합,2009,,2006-12-21,2006-12-21,2009-06-30,2009-12-24,,2007-03-05,,,2010-06-18,,,,,,,시공자 선정 중,송현직,031-8075-3435,
고양시,예정구역,재건축,관산Ⅱ-1구역,경기도 고양시 관산동 178-57대,16404,1980~1992,8,435,20,80,235,100,,,,,,,,,,,,,,,,2.3,2.3,435,,,,,2014-01-06,2025-12-31,,,,,2019-05-13,,,,,,,,,정비예정구역 고시,송현직,031-8075-3435,
고양시,예정구역,재개발,행신Ⅰ-1구역,경기도 고양시 행신동3동 222,29268,1980~2012,84,723,43,180,350,150,,,,,,,,,,,,,,,,2,2.3,723,,,,,2014-01-06,2025-12-31,,,,,,,,,,,,,,정비예정구역 고시,송현직,031-8075-3435,
고양시,사업시행,재개발,고양Ⅰ-2구역,경기도 고양시 덕양구 고양동 92-1,16154,1980~1995,14,160,10,60,80,10,,260,215,,45,215,,41,174,,,45,42,3,,0.55,2.18,132,129,조합,2008,,2006-12-21,,,2009-06-09,2011-06-17,2007-04-23,,,2009-11-20,2011-06-24,,,,,,관리처분계획인가 준비 중,송현직,031-8075-3435,
고양시,준공,재건축,원당주공2단지,경기도 고양시 성사동 715,77755,1986,37,1260,,800,460,,,1651,1363,,288,1363,,117,685,476,85,288,,223,65,0.77,2.66,1260,1252,조합,2007,2010,,,,2006-01-16,2006-05-22,,,2003-03-24,2003-06-30,2006-05-24,2006-10-23,2007-04-23,2009-11-17,2009-10-30,2010-03-30,준공,송현직,031-8075-3435,
