"사업번호","구분코드","구분명","세부절차코드","세부절차명","일자","제목","상세내용"
"11740-900000764","","","150003","(변경)인가","20200904","",""
"11740-900000764","","","150003","(변경)인가","20200928","",""
"11740-900000764","","","150002","(변경)인가신청","20201007","",""
"11740-900000764","","","150002","(변경)인가신청","20200619","",""
"11740-900000763","","","140004","(변경)승인","20210210","",""
"11740-900000763","","","140004","(변경)승인","20201019","",""
"11740-900000763","","","140003","(변경)승인신청","20201210","",""
"11740-900000763","","","145001","업체선정","20201219","",""
"11740-900000763","","","140003","(변경)승인신청","20201014","",""
"11740-900000763","","","145002","계약(변경)","20210104","",""
"11740-900000763","","","150002","(변경)인가신청","20201231","",""
"11740-900000763","","","150003","(변경)인가","20210210","",""
"11740-900000752","","","140003","(변경)승인신청","20200824","",""
"11740-900000752","","","150003","(변경)인가","20210712","",""
"11740-900000752","","","150002","(변경)인가신청","20210712","",""
"11740-900000752","","","140004","(변경)승인","20201109","",""
"11740-900000752","","","140004","(변경)승인","20200827","",""
"11740-900000752","","","140003","(변경)승인신청","20201102","",""
"11740-900000752","","","140001","추진위원회구성(선출)","20200827","추진위원회 승인",""
"11740-900000752","","","130006","구역지정(변경)고시 : 서울시","20200213","명일동 삼익맨숀아파트 재건축정비사업 정비구역 지정 - 지구단위계획 결정 및 지형도면 고시 ",""
"11740-900000752","","","130004","주민공람공고 : 자치구","20191211","삼익파크아파트 재건축사업 정비계획 수립 및 정비구역 지정(안) 재공람공고",""
"11740-900000752","","","130004","주민공람공고 : 자치구","20180829","삼익맨숀아파트 재건축사업 정비계획 수립 및 정비구역 지정(안) 공람공고",""
"11740-900000751","","","156002","계약(변경)","20210208","",""
"11740-900000751","","","156001","업체선정","20201129","",""
"11740-900000751","","","150004","법인등기","20210115","조합 법인성립",""
"11740-900000751","","","150003","(변경)인가","20210114","조합설립인가",""
"11740-900000751","","","130004","주민공람공고 : 자치구","20180725","삼익파크아파트 재건축사업 정비계획 수립 및 정비구역 지정(안) 공람공고",""
"11740-900000751","","","150002","(변경)인가신청","20201207","조합설립인가신청",""
"11740-900000751","","","150001","총회개최","20201129","삼익파크아파트 재건축정비사업 조합설립을 위한 창립총회",""
"11740-900000751","","","145002","계약(변경)","20201126","",""
"11740-900000751","","","145001","업체선정","20201112","",""
"11740-900000751","","","140004","(변경)승인","20200827","",""
"11740-900000751","","","140003","(변경)승인신청","20200825","",""
"11740-900000751","","","130006","구역지정(변경)고시 : 서울시","20200213","길동 삼익파크아파트 재건축정비사업 정비구역 지정-지구단위계획 결정 및 지형도면 고시",""
"11740-900000739","","","150003","(변경)인가","20210705","",""
"11740-900000739","","","140003","(변경)승인신청","20191105","",""
"11740-900000739","","","140004","(변경)승인","20191213","",""
"11740-900000739","","","145001","업체선정","20200926","",""
"11740-900000739","","","145002","계약(변경)","20201022","",""
"11740-900000739","","","150002","(변경)인가신청","20210311","",""
"11740-900000739","","","156001","업체선정","20200926","",""
"11740-900000739","","","156002","계약(변경)","20201021","",""
"11740-900000650","","","156002","계약(변경)","20170121","",""
"11740-900000650","","","156001","업체선정","20170121","",""
"11740-900000650","","","155002","계약(변경)","20181231","",""
"11740-900000650","","","155002","계약(변경)","20170228","",""
"11740-900000650","","","155001","업체선정","20181123","",""
"11740-900000650","","","155001","업체선정","20170121","",""
"11740-900000650","","","150004","법인등기","20170123","",""
"11740-900000650","","","150003","(변경)인가","20190306","",""
"11740-900000650","","","150003","(변경)인가","20180919","",""
"11740-900000650","","","150003","(변경)인가","20161221","",""
"11740-900000650","","","150003","(변경)인가","20161130","",""
"11740-900000650","","","150002","(변경)인가신청","20190122","",""
"11740-900000650","","","150002","(변경)인가신청","20180830","",""
"11740-900000650","","","150002","(변경)인가신청","20161213","",""
"11740-900000650","","","150002","(변경)인가신청","20161104","",""
"11740-900000650","","","150001","총회개최","20161103","벽산빌라 가로주택정비사업조합 창립총회",""
"11740-900000650","","","145002","계약(변경)","20191029","",""
"11740-900000650","","","145002","계약(변경)","20170228","",""
"11740-900000650","","","145001","업체선정","20191028","",""
"11740-900000650","","","145001","업체선정","20170121","",""
"11740-900000643","","","156001","업체선정","20180203","",""
"11740-900000643","","","170007","(변경)인가","20180105","",""
"11740-900000643","","","170006","(변경)인가고시","20200702","",""
"11740-900000643","","","190002","착공신고","20201231","",""
"11740-900000643","","","170006","(변경)인가고시","20180105","",""
"11740-900000643","","","170005","(변경)인가신청","20200331","",""
"11740-900000643","","","170007","(변경)인가","20200630","",""
"11740-900000643","","","170005","(변경)인가신청","20171220","",""
"11740-900000643","","","160005","(변경)인가","20210528","",""
"11740-900000643","","","160005","(변경)인가","20210218","",""
"11740-900000643","","","160005","(변경)인가","20200724","",""
"11740-900000643","","","160005","(변경)인가","20200213","",""
"11740-900000643","","","160005","(변경)인가","20191021","",""
"11740-900000643","","","160005","(변경)인가","20050509","",""
"11740-900000643","","","160004","(변경)인가고시","20210602","",""
"11740-900000643","","","160004","(변경)인가고시","20210219","",""
"11740-900000643","","","160004","(변경)인가고시","20200728","",""
"11740-900000643","","","160004","(변경)인가고시","20200214","",""
"11740-900000643","","","160004","(변경)인가고시","20191023","",""
"11740-900000643","","","160004","(변경)인가고시","20050510","",""
"11740-900000643","","","160002","(변경)인가신청","20210409","",""
"11740-900000643","","","160002","(변경)인가신청","20201214","",""
"11740-900000643","","","160002","(변경)인가신청","20200701","",""
"11740-900000643","","","160002","(변경)인가신청","20200203","",""
"11740-900000643","","","160002","(변경)인가신청","20190607","",""
"11740-900000643","","","160002","(변경)인가신청","20050425","",""
"11740-900000643","","","156002","계약(변경)","20210407","",""
"11740-900000643","","","156002","계약(변경)","20191127","",""
"11740-900000643","","","156002","계약(변경)","20180206","",""
"11740-900000643","","","156002","계약(변경)","20161223","",""
"11740-900000643","","","156002","계약(변경)","20030626","",""
"11740-900000643","","","156001","업체선정","20210327","",""
"11740-900000643","","","156001","업체선정","20191123","",""
"11740-900000643","","","156001","업체선정","20030626","",""
"11740-900000643","","","155002","계약(변경)","20171109","",""
"11740-900000643","","","155001","업체선정","20170923","",""
"11740-900000643","","","150003","(변경)인가","20200303","",""
"11740-900000643","","","150003","(변경)인가","20190604","",""
"11740-900000643","","","150003","(변경)인가","20180914","",""
"11740-900000643","","","150003","(변경)인가","20170711","",""
"11740-900000643","","","150003","(변경)인가","20170525","",""
"11740-900000643","","","150003","(변경)인가","20160425","",""
"11740-900000643","","","150003","(변경)인가","20110908","",""
"11740-900000643","","","150003","(변경)인가","20060329","",""
"11740-900000643","","","150003","(변경)인가","20050914","",""
"11740-900000643","","","150003","(변경)인가","20050908","",""
"11740-900000643","","","150003","(변경)인가","20050223","",""
"11740-900000643","","","150002","(변경)인가신청","20200205","",""
"11740-900000643","","","150002","(변경)인가신청","20190411","",""
"11740-900000643","","","150002","(변경)인가신청","20180903","",""
"11740-900000643","","","150002","(변경)인가신청","20170626","",""
"11740-900000643","","","150002","(변경)인가신청","20170515","",""
"11740-900000643","","","150002","(변경)인가신청","20160405","",""
"11740-900000643","","","150002","(변경)인가신청","20110902","",""
"11740-900000643","","","150002","(변경)인가신청","20060313","",""
